"","horizon","age_id","scenario_id","sample","location","target_variable","value"
"304","1 wk","child","C",24,"LI","inc infection",0
"305","1 wk","child","C",25,"LI","inc infection",0
"306","1 wk","child","C",26,"LI","inc infection",0
"307","1 wk","child","C",37,"LI","inc infection",0
"308","1 wk","child","C",38,"LI","inc infection",0
"309","1 wk","child","C",39,"LI","inc infection",0
"310","1 wk","child","C",40,"LI","inc infection",0
"311","1 wk","child","C",41,"LI","inc infection",0
"312","1 wk","child","C",42,"LI","inc infection",0
"313","1 wk","child","C",43,"LI","inc infection",0
"314","1 wk","child","C",44,"LI","inc infection",0
"315","1 wk","child","C",55,"LI","inc infection",0
"316","1 wk","child","C",56,"LI","inc infection",0
"317","1 wk","child","C",57,"LI","inc infection",0
"318","1 wk","child","C",58,"LI","inc infection",0
"319","1 wk","child","C",59,"LI","inc infection",0
"320","1 wk","child","C",60,"LI","inc infection",0
"321","1 wk","child","C",61,"LI","inc infection",0
"322","1 wk","child","C",62,"LI","inc infection",0
"323","1 wk","child","C",73,"LI","inc infection",0
"324","1 wk","child","C",74,"LI","inc infection",0
"325","1 wk","child","C",75,"LI","inc infection",0
"326","1 wk","child","C",76,"LI","inc infection",0
"327","1 wk","child","C",77,"LI","inc infection",0
"328","1 wk","child","C",78,"LI","inc infection",0
"329","1 wk","child","C",79,"LI","inc infection",0
"330","1 wk","child","C",80,"LI","inc infection",0
"331","1 wk","child","D",1,"LI","inc infection",0
"332","1 wk","child","D",2,"LI","inc infection",0
"333","1 wk","child","D",3,"LI","inc infection",0
"334","1 wk","child","D",4,"LI","inc infection",0
"335","1 wk","child","D",5,"LI","inc infection",0
"336","1 wk","child","D",6,"LI","inc infection",0
"337","1 wk","child","D",7,"LI","inc infection",0
"338","1 wk","child","D",8,"LI","inc infection",0
"339","1 wk","child","D",9,"LI","inc infection",0
"340","1 wk","child","D",10,"LI","inc infection",0
"341","1 wk","child","D",11,"LI","inc infection",0
"342","1 wk","child","D",12,"LI","inc infection",0
"343","1 wk","child","D",13,"LI","inc infection",0
"344","1 wk","child","D",14,"LI","inc infection",0
"345","1 wk","child","D",15,"LI","inc infection",0
"346","1 wk","child","D",16,"LI","inc infection",0
"347","1 wk","child","D",17,"LI","inc infection",0
