sample,value,origin_date,scenario_id,target_end_date,horizon,location,target_variable
13,1919,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,2694,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,3891,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,5775,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,8777,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,13608,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,21423,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,34046,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,54161,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,85209,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,130441,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,190175,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,257328,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,314827,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,341707,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,327471,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,280384,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,219731,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,162275,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,116134,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,82433,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,59055,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,43209,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,32513,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,25234,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,20198,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,16637,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,14053,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,12124,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,10639,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,9459,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,8494,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,3172,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,2371,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,1754,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,1290,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,949,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,700,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,521,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,392,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,300,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,235,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,188,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,156,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,134,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,120,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,112,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,110,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,114,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,123,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,138,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,159,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,189,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,232,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,293,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,379,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,504,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,685,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,949,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,1338,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,1913,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,2764,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,4020,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,5866,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,8550,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,12390,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,17763,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
