sample,epiweek,value,origin_date,scenario_id,target_end_date,horizon,location,target_variable
11,8,5090,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,9,6216,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,10,7388,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,11,8532,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,12,9558,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,13,10372,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,14,10898,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,15,11085,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,16,10920,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,17,10429,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,18,9671,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,19,8725,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,20,7677,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,21,3511,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,22,3555,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,23,3740,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,24,3950,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,25,4173,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,26,4424,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,27,4726,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,28,5114,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,29,5633,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,30,6350,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,31,7364,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,32,8831,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,33,11009,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,34,14322,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,35,19505,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,36,27849,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,37,41644,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,38,64327,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,39,99217,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,40,149553,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,41,213857,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,42,280516,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,43,327268,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,44,334293,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,45,301279,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,46,246235,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,47,189455,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,48,142538,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,49,108397,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,50,85528,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
