"scenario_id","horizon","location","sample","target_variable","value"
"B","7 wk","DE",1,"inc infection",105536
"B","7 wk","DE",1,"inc dose",0
"B","8 wk","DE",1,"inc infection",156485
"B","8 wk","DE",1,"inc dose",0
"B","9 wk","DE",1,"inc infection",252923
"B","9 wk","DE",1,"inc dose",0
"B","10 wk","DE",1,"inc infection",420690
"B","10 wk","DE",1,"inc dose",258718
"B","11 wk","DE",1,"inc infection",615386
"B","11 wk","DE",1,"inc dose",301838
"B","12 wk","DE",1,"inc infection",1036076
"B","12 wk","DE",1,"inc dose",301838
"B","13 wk","DE",1,"inc infection",2241010
"B","13 wk","DE",1,"inc dose",301838
"B","14 wk","DE",1,"inc infection",4447812
"B","14 wk","DE",1,"inc dose",301838
"B","15 wk","DE",1,"inc infection",6817285
"B","15 wk","DE",1,"inc dose",301838
"B","16 wk","DE",1,"inc infection",7535660
"B","16 wk","DE",1,"inc dose",301838
"B","17 wk","DE",1,"inc infection",6763425
"B","17 wk","DE",1,"inc dose",301838
"B","18 wk","DE",1,"inc infection",5388541
"B","18 wk","DE",1,"inc dose",301838
"B","19 wk","DE",1,"inc infection",4039495
"B","19 wk","DE",1,"inc dose",301838
"B","20 wk","DE",1,"inc infection",3069652
"B","20 wk","DE",1,"inc dose",301838
"B","21 wk","DE",1,"inc infection",2333809
"B","21 wk","DE",1,"inc dose",301838
"B","22 wk","DE",1,"inc infection",1777742
"B","22 wk","DE",1,"inc dose",258718
"B","23 wk","DE",1,"inc infection",1280265
"B","23 wk","DE",1,"inc dose",0
"B","24 wk","DE",1,"inc infection",989130
"B","24 wk","DE",1,"inc dose",0
"B","25 wk","DE",1,"inc infection",859575
"B","25 wk","DE",1,"inc dose",0
"B","26 wk","DE",1,"inc infection",734024
"B","26 wk","DE",1,"inc dose",0
"B","27 wk","DE",1,"inc infection",696540
"B","27 wk","DE",1,"inc dose",0
"B","28 wk","DE",1,"inc infection",709641
"B","28 wk","DE",1,"inc dose",0
"B","29 wk","DE",1,"inc infection",758042
"B","29 wk","DE",1,"inc dose",0
"B","30 wk","DE",1,"inc infection",826459
"B","30 wk","DE",1,"inc dose",0
"B","31 wk","DE",1,"inc infection",1011329
"B","31 wk","DE",1,"inc dose",0
"B","32 wk","DE",1,"inc infection",1288271
"B","32 wk","DE",1,"inc dose",0
"B","33 wk","DE",1,"inc infection",1656557
"B","33 wk","DE",1,"inc dose",0
"B","34 wk","DE",1,"inc infection",2186786
"B","34 wk","DE",1,"inc dose",0
"B","35 wk","DE",1,"inc infection",2703187
"B","35 wk","DE",1,"inc dose",0
"B","36 wk","DE",1,"inc infection",2882234
"B","36 wk","DE",1,"inc dose",0
"B","37 wk","DE",1,"inc infection",2936094
"B","37 wk","DE",1,"inc dose",0
"B","38 wk","DE",1,"inc infection",3337860
"B","38 wk","DE",1,"inc dose",0
"B","39 wk","DE",1,"inc infection",3333857
"B","39 wk","DE",1,"inc dose",0
"B","40 wk","DE",1,"inc infection",3152262
"B","40 wk","DE",1,"inc dose",0
"B","41 wk","DE",1,"inc infection",2838200
"B","41 wk","DE",1,"inc dose",0
"B","42 wk","DE",1,"inc infection",2529961
"B","42 wk","DE",1,"inc dose",0
"B","43 wk","DE",1,"inc infection",2015017
"B","43 wk","DE",1,"inc dose",0
"B","44 wk","DE",1,"inc infection",1646367
"B","44 wk","DE",1,"inc dose",0
"B","1 wk","DE",2,"inc infection",26566
"B","1 wk","DE",2,"inc dose",0
"B","2 wk","DE",2,"inc infection",35300
"B","2 wk","DE",2,"inc dose",0
"B","3 wk","DE",2,"inc infection",40395
"B","3 wk","DE",2,"inc dose",0
"B","4 wk","DE",2,"inc infection",64050
"B","4 wk","DE",2,"inc dose",712
"B","5 wk","DE",2,"inc infection",73148
"B","5 wk","DE",2,"inc dose",0
"B","6 wk","DE",2,"inc infection",103717
"B","6 wk","DE",2,"inc dose",0
"B","7 wk","DE",2,"inc infection",167766
"B","7 wk","DE",2,"inc dose",0
"B","8 wk","DE",2,"inc infection",217623
"B","8 wk","DE",2,"inc dose",0
